CloneID	Chromosome	Start	End	Case1.test	Case1.ref
A_14_P100228	07	151789455	151789514	663	330
A_14_P100229	X	100470324	100470383	184	136
A_14_P100230	19	56147881	56147930	1089	580
A_14_P100231	19	18341711	18341770	486	254
A_14_P100232	16	30286850	30286909	645.5	384
A_14_P100233	02	210958245	210958304	949	489
A_14_P100234	07	89621308	89621367	781.5	392.5
A_14_P100235	16	77251138	77251197	419	282
A_14_P100236	16	83242060	83242119	442	222.5
A_14_P100237	02	239852306	239852362	343	183
A_14_P100238	04	47328846	47328905	388	222
A_14_P100239	17	42845210	42845269	418	161
A_14_P100240	15	67251179	67251238	745	384
A_14_P100241	22	29183576	29183635	559	350.5
A_14_P100243	15	62249422	62249479	814	447
A_14_P100244	13	25312943	25313002	392	277
A_14_P100245	04	156028557	156028616	526	308.5
A_14_P100246	06	41666424	41666483	546	326
A_14_P100247	11	31306249	31306308	322	207
A_14_P100248	03	133801891	133801950	481	298
A_14_P100249	03	185143229	185143282	702	414.5
A_14_P100251	16	79676479	79676538	504.5	305
A_14_P100252	17	13587524	13587583	362	157
A_14_P100254	13	60881929	60881988	513.5	317
A_14_P100255	08	54960956	54961015	346	212
A_14_P100256	12	55404984	55405028	718	315
A_14_P100257	14	63948913	63948972	397	299
A_14_P100258	10	101481617	101481662	535	331
A_14_P100259	16	79785860	79785919	352	205
A_14_P100260	12	29195449	29195508	483	211
A_14_P100261	06	119541920	119541979	309.5	175
A_14_P100262	13	36390522	36390581	305	175
A_14_P100263	02	100572969	100573028	436	231
A_14_P100264	03	39287705	39287764	321.5	207.5
A_14_P100265	12	54995600	54995644	349.5	158.5
A_14_P100266	08	122398671	122398730	354.5	226
A_14_P100267	03	41729441	41729500	924	523
A_14_P100269	15	63042558	63042617	619	268
A_14_P100270	12	119704142	119704198	522	240
A_14_P100271	12	43247759	43247818	511	214
A_14_P100272	05	156525464	156525508	385.5	233
A_14_P100273	02	139773806	139773865	397	208.5
A_14_P100274	19	45730726	45730785	831.5	497
A_14_P100275	13	41040101	41040160	283	159
A_14_P100276	02	32949256	32949315	522	273
A_14_P100277	10	107961145	107961204	385	306
A_14_P100278	02	153441749	153441808	600.5	292.5
A_14_P100279	11	85441774	85441833	199	117
A_14_P100280	09	127580199	127580255	551	314.5
A_14_P100281	08	41025130	41025189	287.5	141.5
A_14_P100282	07	570083	570127	590	330
A_14_P100283	10	97860332	97860391	628.5	522
A_14_P100284	06	130573045	130573104	878	457
A_14_P100285	17	72209785	72209844	1434	628
A_14_P100286	06	33343458	33343516	403	224.5
A_14_P100287	03	162435665	162435724	448	231
A_14_P100288	11	105184174	105184233	522	309
A_14_P100289	16	55243321	55243368	486.5	263
A_14_P100290	02	179325474	179325533	278.5	143.5
A_14_P100292	03	185337292	185337351	558.5	378
A_14_P100293	01	44938953	44939003	472	278
A_14_P100294	08	120812328	120812387	237	137
A_14_P100296	X	141656634	141656693	325	247
A_14_P100297	02	174763013	174763072	548	260
A_14_P100298	20	48723763	48723822	547	297
A_14_P100299	07	46165277	46165336	445	226
A_14_P100300	13	36350764	36350823	300	168
A_14_P100302	17	7530371	7530424	1137	408
A_14_P100304	07	148212518	148212573	985	471.5
A_14_P100305	03	198798702	198798761	341.5	177
A_14_P100306	16	4685633	4685692	284.5	174.5
A_14_P100307	06	131202535	131202594	368	182.5
A_14_P100309	01	46746135	46746192	508.5	254
A_14_P100310	02	44846214	44846273	378	161
A_14_P100311	01	221234929	221234988	360	177.5
A_14_P100312	03	123479253	123479312	320	181
A_14_P100313	13	40780553	40780612	446.5	239
A_14_P100314	20	17064771	17064830	440	257
A_14_P100316	20	33460945	33461004	320	147
A_14_P100318	16	48563960	48564019	563	321
A_14_P100319	08	87171058	87171117	471.5	329.5
A_14_P100321	15	76114664	76114723	496	260
A_14_P100322	11	8663251	8663310	346	187.5
A_14_P100323	07	37991882	37991941	661	335
A_14_P100324	14	44766631	44766690	326	258
A_14_P100325	X	102671273	102671332	437	339.5
A_14_P100327	13	77191708	77191756	443	295
A_14_P100328	02	201839965	201840018	509	262
A_14_P100329	02	176862909	176862967	461	241
A_14_P100330	01	7841925	7841984	466	227
A_14_P100331	17	58143173	58143232	404	154
A_14_P100333	01	110259062	110259114	792	393
A_14_P100334	17	75569393	75569452	690.5	268.5
A_14_P100335	01	217223823	217223882	511.5	269
A_14_P100336	01	147812113	147812172	498.5	231.5
A_14_P100337	12	6799969	6800020	675	275
A_14_P100338	12	99686530	99686589	749	306.5
A_14_P100339	06	110520229	110520288	437.5	240.5
A_14_P100341	12	128977087	128977146	706	270
A_14_P100342	07	1867470	1867529	874	435
A_14_P100343	11	46795839	46795898	938	513
A_14_P100344	01	189716940	189716999	559	238
A_14_P100345	13	105963076	105963133	617	353
A_14_P100346	17	12428574	12428633	840	379
A_14_P100347	05	169607689	169607748	475	279
A_14_P100348	10	23260905	23260964	314	265
A_14_P100349	03	187138121	187138173	948.5	408
A_14_P100350	09	97448039	97448098	199	114
A_14_P100351	20	55259259	55259318	704	328
A_14_P100352	17	11840349	11840408	1096	552.5
A_14_P100353	10	118656145	118656195	273	191
A_14_P100354	16	54252925	54252984	998	568.5
A_14_P100355	01	40035203	40035261	465	227
A_14_P100356	16	65198963	65199022	605	309.5
A_14_P100357	10	114487485	114487540	288	170
A_14_P100359	08	39797755	39797814	580	342
A_14_P100360	06	33396200	33396254	1219	479
A_14_P100361	13	31395964	31396023	304	188
A_14_P100362	12	65068999	65069058	397	202.5
A_14_P100363	13	106808276	106808335	479	294
A_14_P100364	X	46843247	46843306	225	138
A_14_P100365	13	94062600	94062658	568	294
A_14_P100366	05	161964456	161964515	352	245
A_14_P100367	12	31524424	31524483	436	194
A_14_P100368	16	27016796	27016855	222	138
A_14_P100369	02	30171297	30171356	701	369
A_14_P100370	02	55832774	55832833	671	374
A_14_P100371	11	123494427	123494484	421	308
A_14_P100372	10	21591774	21591833	364.5	298
A_14_P100373	03	137461918	137461977	625.5	317.5
A_14_P100374	07	16495630	16495689	683	328
A_14_P100375	20	25316756	25316815	354.5	167
A_14_P100376	12	55131673	55131732	626	214
A_14_P100377	19	40497539	40497598	376.5	244
A_14_P100378	03	12170809	12170859	729	426.5
A_14_P100379	10	110129764	110129823	436	329.5
A_14_P100381	17	71136546	71136590	675.5	346
A_14_P100382	16	86599633	86599692	414	265
A_14_P100383	17	60572709	60572768	831	318
A_14_P100384	05	94068953	94069012	248	170.5
A_14_P100385	16	55200131	55200182	384	195
A_14_P100386	01	37823113	37823172	1236	530
A_14_P100387	06	33360021	33360068	925.5	585.5
A_14_P100388	20	44963372	44963431	408	201
A_14_P100389	01	153403383	153403442	430	199
A_14_P100390	15	43173136	43173192	317	167
A_14_P100391	19	38193012	38193069	893	416
A_14_P100392	04	35308352	35308411	400	219
A_14_P100393	04	83512199	83512258	747.5	422.5
A_14_P100395	05	31286707	31286763	343	201
A_14_P100396	04	177510473	177510532	367.5	237.5
A_14_P100397	07	127636998	127637057	378	201.5
A_14_P100398	20	41901726	41901785	405.5	211
A_14_P100399	02	120359650	120359709	402	185
A_14_P100400	02	203416456	203416515	209	114
A_14_P100401	16	75888770	75888829	689	399
A_14_P100402	07	99453161	99453217	284.5	148.5
A_14_P100403	16	10514881	10514940	893.5	488
A_14_P100405	13	51019958	51020017	505.5	301
A_14_P100406	01	146628218	146628264	422.5	217
A_14_P100407	11	1544796	1544847	517	340
A_14_P100408	06	79792356	79792415	673.5	448.5
A_14_P100409	19	4745850	4745895	1879	892
A_14_P100410	02	154159685	154159744	705	363
A_14_P100411	09	137788980	137789030	467	300.5
A_14_P100412	08	71288688	71288747	568.5	317.5
A_14_P100413	08	125689142	125689201	414	255
A_14_P100416	03	157741848	157741907	238	128
A_14_P100417	03	97384282	97384341	290	194
A_14_P100418	01	81184008	81184067	327	187
A_14_P100419	12	115690594	115690653	315	134
A_14_P100420	02	9007331	9007390	580	286
A_14_P100421	08	23024589	23024648	233.5	145.5
A_14_P100422	03	129254329	129254384	772	464
A_14_P100423	03	66643526	66643585	365	226
A_14_P100424	08	121533737	121533796	254.5	168
A_14_P100425	Y	13799359	13799418	93.5	65
A_14_P100426	04	90148372	90148431	417	222
A_14_P100427	21	34516044	34516103	309	165
A_14_P100428	09	127966354	127966409	391	241
A_14_P100430	09	78110415	78110474	993	513.5
A_14_P100431	02	27785879	27785938	1283.5	607
A_14_P100432	12	4465295	4465354	744	313.5
A_14_P100433	01	203249430	203249489	395	239.5
A_14_P100434	07	101638521	101638570	549	263
A_14_P100436	10	82242810	82242869	481.5	356.5
A_14_P100437	19	59337766	59337825	314	231.5
A_14_P100438	09	103291623	103291682	469.5	269.5
A_14_P100439	12	129882599	129882658	382	163
A_14_P100440	01	166622212	166622268	361	195
A_14_P100441	14	87691168	87691227	556.5	401
A_14_P100442	18	19698715	19698774	775	307
A_14_P100443	17	38189251	38189300	742	287
A_14_P100444	17	7415996	7416051	1208	535
A_14_P100445	09	17699065	17699124	421.5	267
A_14_P100446	08	89408430	89408481	657	445
A_14_P100447	X	21218460	21218519	332	252.5
A_14_P100448	01	238125127	238125186	600.5	307
A_14_P100449	22	41549607	41549666	281.5	174.5
A_14_P100450	01	111569011	111569070	539.5	269
A_14_P100451	12	84770603	84770654	431.5	194.5
A_14_P100453	12	13798074	13798126	389	183
A_14_P100454	X	61714710	61714766	488	380
A_14_P100455	14	62243837	62243896	294.5	199.5
A_14_P100456	19	56229348	56229403	1115	760
A_14_P100457	05	139535834	139535886	697	469
A_14_P100458	08	74728238	74728297	254	158
A_14_P100459	02	197562697	197562756	492	250.5
A_14_P100461	19	37554715	37554774	599.5	358
A_14_P100462	11	133446416	133446475	676.5	403
A_14_P100463	06	35882448	35882507	410	248
A_14_P100464	11	47398988	47399043	480	277
A_14_P100465	01	231049352	231049411	375	191
A_14_P100466	08	88087492	88087551	264	171
A_14_P100467	12	121711588	121711633	931	399
A_14_P100468	13	99417382	99417441	327.5	178
A_14_P100469	06	162654138	162654188	658.5	346
A_14_P100471	10	60243954	60244013	408.5	263.5
A_14_P100472	02	239947428	239947487	695	345
A_14_P100473	01	200382149	200382208	257	144.5
A_14_P100474	05	78315802	78315861	873	527
A_14_P100475	17	53282106	53282165	944	390
A_14_P100477	11	129249971	129250030	513	311
A_14_P100478	01	183373041	183373100	489	243
A_14_P100479	11	35189287	35189337	442	326
A_14_P100480	05	169738094	169738147	326.5	176.5
A_14_P100482	05	122309649	122309708	400	242
A_14_P100483	22	28878208	28878267	409	259
A_14_P100484	10	4386261	4386320	887	595
A_14_P100485	20	1433247	1433306	817	387
A_14_P100486	20	38748031	38748090	831	415
A_14_P100487	05	128468638	128468697	818	579
A_14_P100488	06	152417607	152417666	440	311
A_14_P100489	15	37880460	37880519	1112.5	568
A_14_P100490	18	70224831	70224890	399	190
A_14_P100491	05	57825869	57825927	296	177.5
A_14_P100492	08	124728622	124728681	395	257
A_14_P100493	05	140412087	140412139	238	168
A_14_P100494	17	7774808	7774857	272	140
A_14_P100495	01	52179687	52179746	605	302
A_14_P100496	01	85498335	85498394	300	140.5
A_14_P100497	10	101905920	101905975	231.5	171.5
A_14_P100498	08	121619282	121619341	767	437
A_14_P100499	06	89955570	89955629	374.5	180.5
A_14_P100500	01	23859915	23859974	277	157.5
A_14_P100501	19	52695182	52695240	924.5	540
A_14_P100502	07	135998002	135998061	702	303
A_14_P100503	03	188001620	188001673	836	498
A_14_P100504	03	32401844	32401903	293.5	166
A_14_P100505	05	88155281	88155340	634	379.5
A_14_P100506	12	78346874	78346933	984	377.5
A_14_P100507	14	89893681	89893740	224	259
A_14_P100508	12	48340508	48340567	626.5	247
A_14_P100509	03	126690890	126690949	321	191
A_14_P100510	02	160783746	160783805	697.5	370
A_14_P100512	04	159490118	159490177	345	224.5
A_14_P100513	17	57442679	57442738	1001	376.5
A_14_P100514	15	70432627	70432674	353	175
A_14_P100515	17	71161125	71161183	612	244.5
A_14_P100516	05	83716042	83716098	616	391
A_14_P100517	06	118930116	118930175	707	420.5
A_14_P100518	13	102342495	102342552	322.5	166.5
A_14_P100519	06	110903410	110903457	269.5	154
A_14_P100520	03	135687621	135687668	2846	2079.5
A_14_P100521	19	56255986	56256045	302	152
A_14_P100522	09	18940859	18940918	568	327
A_14_P100523	19	19533558	19533617	535.5	339
A_14_P100524	03	99162940	99162999	390	243
A_14_P100525	14	89648546	89648605	435	290.5
A_14_P100526	04	143584258	143584315	268	176
A_14_P100527	03	134788706	134788765	359	227.5
A_14_P100528	X	68959881	68959940	212	147
A_14_P100529	04	48332084	48332143	741	427
A_14_P100530	20	35275570	35275629	344	169
A_14_P100531	12	48856780	48856839	857	335
A_14_P100532	01	47696661	47696720	290.5	152.5
A_14_P100533	09	137365698	137365744	578	358
A_14_P100534	11	95260969	95261025	362	312
A_14_P100535	02	23842996	23843055	515	219
A_14_P100536	01	189721094	189721153	532	271
A_14_P100537	05	151308537	151308596	463	258
A_14_P100538	06	70500457	70500516	542	328
A_14_P100540	15	40082950	40083009	808	364
A_14_P100541	06	10508652	10508707	241	243
A_14_P100542	22	38486073	38486132	427	267
A_14_P100543	08	29147511	29147570	329	217
A_14_P100544	09	124809906	124809965	447	290
A_14_P100545	06	46401048	46401107	548	330
A_14_P100546	03	142701720	142701779	501	323
A_14_P100547	09	134523434	134523479	500	242
A_14_P100548	14	37038938	37038997	219	184
A_14_P100549	07	29213596	29213653	710	364
A_14_P100550	19	14091303	14091362	367	218
A_14_P100551	X	19914391	19914450	283	191
A_14_P100552	11	14665658	14665717	934.5	568
A_14_P100554	09	119008717	119008776	669	390
A_14_P100555	06	153041762	153041821	218	159
A_14_P100558	19	51051716	51051775	296	168
A_14_P100559	11	62373800	62373859	754	426.5
A_14_P100560	07	139110660	139110719	398	205
A_14_P100561	13	52774228	52774287	451	248
A_14_P100563	13	95283204	95283263	660.5	360
A_14_P100564	08	99537176	99537235	350	223
A_14_P100565	11	89730036	89730095	532.5	301
A_14_P100566	18	7764121	7764180	786	374
A_14_P100567	14	72432303	72432362	478.5	415
A_14_P100568	12	107830475	107830527	765	360
A_14_P100569	01	74884802	74884861	681	338
A_14_P100570	12	52861748	52861807	227	109
A_14_P100572	01	233574057	233574116	369.5	228
A_14_P100573	05	176421214	176421273	534	296.5
A_14_P100574	08	97313103	97313162	575	349
A_14_P100575	X	77184568	77184617	393	297
A_14_P100576	16	12739281	12739340	372	203.5
A_14_P100577	14	48586397	48586456	174.5	140.5
A_14_P100578	08	55663847	55663906	351.5	256
A_14_P100579	09	127738051	127738104	813	439
A_14_P100580	03	52585626	52585685	728	389
A_14_P100581	02	152621797	152621856	646	344
A_14_P100582	17	24265896	24265955	530	213
A_14_P100583	01	204973751	204973810	431	235
A_14_P100584	12	78249722	78249781	683	292.5
A_14_P100586	X	138425201	138425260	513	424
A_14_P100587	16	30905919	30905973	816	491
A_14_P100588	03	125161456	125161515	384.5	216.5
A_14_P100589	09	87571762	87571821	227.5	143
A_14_P100590	05	96532694	96532753	316	192
A_14_P100591	11	119605778	119605837	315	196
A_14_P100592	04	100613602	100613660	561	302
A_14_P100593	10	22302400	22302459	290	216
A_14_P100594	07	24394341	24394400	1198.5	509.5
A_14_P100596	15	57194181	57194240	519.5	267
A_14_P100597	05	100842157	100842216	1471	1925
A_14_P100598	11	113362073	113362132	794.5	499
A_14_P100599	20	43948525	43948575	821	328
A_14_P100600	22	30154858	30154915	690	364
A_14_P100602	17	39753724	39753772	710.5	323
A_14_P100603	03	114893227	114893286	456	260
A_14_P100604	17	60480116	60480171	1000	483.5
A_14_P100605	07	63879544	63879603	334	193
A_14_P100606	14	59002166	59002225	275	218
A_14_P100607	17	18594021	18594069	622	258
A_14_P100608	03	46942063	46942119	431	253
A_14_P100609	10	62209899	62209958	316	223
A_14_P100610	06	116586784	116586843	150.5	90.5
A_14_P100611	03	130632851	130632909	764	417
A_14_P100612	17	10524517	10524576	459	218
A_14_P100613	07	104402460	104402519	873	407
A_14_P100614	X	17527193	17527252	521	448
A_14_P100615	17	15883378	15883437	805.5	287
A_14_P100616	19	39608712	39608771	340	179
A_14_P100618	11	35448888	35448942	493	294.5
A_14_P100621	02	38725343	38725402	699	378
A_14_P100622	X	51475874	51475933	458	326
A_14_P100623	19	14522784	14522843	687.5	367.5
A_14_P100624	20	34250033	34250092	790	434
A_14_P100625	11	76807665	76807724	372	198
A_14_P100626	12	122227798	122227857	349	173.5
A_14_P100627	10	94046804	94046863	1098	737
A_14_P100628	16	70490891	70490950	509	285
A_14_P100629	09	83548325	83548384	328.5	194
A_14_P100630	01	70015918	70015977	848.5	377.5
A_14_P100632	07	143586787	143586846	183.5	87
A_14_P100634	06	109698258	109698317	251	142
A_14_P100635	03	99720443	99720495	267	182
A_14_P100636	12	27444930	27444989	429	191
A_14_P100637	03	47344344	47344403	544	314
A_14_P100638	05	138080491	138080550	527	324
A_14_P100639	06	30221103	30221162	462.5	241.5
A_14_P100640	17	8183922	8183979	551	219
A_14_P100641	09	91519026	91519085	449	240
A_14_P100642	X	148672919	148672978	387	282
A_14_P100644	15	87559291	87559346	465	228
A_14_P100645	01	60931948	60932007	471.5	209.5
A_14_P100646	17	4742068	4742121	412	157
A_14_P100647	02	219343072	219343131	777	387
A_14_P100648	12	15152654	15152713	642	266
A_14_P100649	03	143694776	143694835	299.5	171.5
A_14_P100650	11	36292214	36292273	217.5	135.5
A_14_P100651	16	57948210	57948269	395.5	224.5
A_14_P100652	13	73285079	73285138	650	425
A_14_P100653	08	142503861	142503905	432	271
A_14_P100654	08	73585924	73585983	504	322
A_14_P100655	11	65243617	65243669	436	232
A_14_P100656	07	74923353	74923412	1037	535
A_14_P100657	X	110884416	110884475	314	222
A_14_P100658	08	145555702	145555761	335	203
A_14_P100661	X	39230375	39230434	318	266
A_14_P100662	17	6472676	6472735	957	444
A_14_P100663	01	4689479	4689538	947.5	422
A_14_P100664	01	158907101	158907160	985.5	477.5
A_14_P100665	19	483997	484045	1460	773
A_14_P100666	06	140711248	140711307	855	563
A_14_P100667	02	135519880	135519939	1013	537
A_14_P100668	04	61909897	61909956	303.5	181
A_14_P100669	03	176304546	176304605	630	383
